Sample in Buffer,Sample in Window,TRIGGER,uut_noc_top/mon_active_cnt[31:0],uut_noc_top/mon_stall_cnt[31:0],uut_noc_top/mon_flit_cnt[31:0],uut_noc_top/mon_rx_pkt_cnt[31:0],uut_noc_top/mon_rx_stall_cnt[31:0],uut_noc_top/mon_rx_flit_cnt[31:0],uut_noc_top/mon_pkt_cnt[31:0],uut_noc_top/mon_rx_active_cnt[31:0],u_stress/agent_00/rx_vc1_cnt[31:0],u_stress/agent_00/rx_err_cnt[31:0],u_stress/agent_00/rx_vc0_cnt[31:0],u_stress/agent_00/state_dbg[1:0],u_stress/agent_00/tx_flit_cnt[31:0],u_stress/agent_00/tx_stall_cnt[31:0],u_stress/agent_00/rx_tdest_dbg[3:0],u_stress/agent_00/test_done
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,238a44ea,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44ea,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
1,1,0,238a44eb,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44eb,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
2,2,0,238a44ec,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44ec,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
3,3,0,238a44ed,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44ed,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
4,4,0,238a44ee,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44ee,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
5,5,0,238a44ef,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44ef,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
6,6,0,238a44f0,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44f0,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
7,7,0,238a44f1,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44f1,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
8,8,0,238a44f2,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44f2,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
9,9,0,238a44f3,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44f3,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
10,10,0,238a44f4,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44f4,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
11,11,0,238a44f5,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44f5,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
12,12,0,238a44f6,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44f6,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
13,13,0,238a44f7,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44f7,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
14,14,0,238a44f8,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44f8,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
15,15,0,238a44f9,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44f9,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
16,16,0,238a44fa,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44fa,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
17,17,0,238a44fb,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44fb,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
18,18,0,238a44fc,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44fc,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
19,19,0,238a44fd,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44fd,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
20,20,0,238a44fe,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44fe,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
21,21,0,238a44ff,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a44ff,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
22,22,0,238a4500,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4500,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
23,23,0,238a4501,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4501,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
24,24,0,238a4502,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4502,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
25,25,0,238a4503,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4503,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
26,26,0,238a4504,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4504,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
27,27,0,238a4505,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4505,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
28,28,0,238a4506,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4506,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
29,29,0,238a4507,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4507,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
30,30,0,238a4508,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4508,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
31,31,0,238a4509,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4509,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
32,32,0,238a450a,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a450a,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
33,33,0,238a450b,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a450b,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
34,34,0,238a450c,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a450c,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
35,35,0,238a450d,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a450d,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
36,36,0,238a450e,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a450e,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
37,37,0,238a450f,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a450f,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
