Sample in Buffer,Sample in Window,TRIGGER,uut_noc_top/mon_stall_cnt[31:0],uut_noc_top/mon_rx_stall_cnt[31:0],uut_noc_top/mon_rx_pkt_cnt[31:0],uut_noc_top/mon_active_cnt[31:0],uut_noc_top/mon_flit_cnt[31:0],uut_noc_top/mon_rx_active_cnt[31:0],uut_noc_top/mon_pkt_cnt[31:0],uut_noc_top/mon_rx_flit_cnt[31:0],u_stress/agent_00/tx_stall_cnt[31:0],u_stress/agent_00/rx_err_cnt[31:0],u_stress/agent_00/rx_vc1_cnt[31:0],u_stress/agent_00/rx_vc0_cnt[31:0],u_stress/agent_00/tx_flit_cnt[31:0],u_stress/agent_00/state_dbg[1:0],u_stress/agent_00/rx_tdest_dbg[3:0],u_stress/agent_00/test_done
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00000000,00000000,000ee50f,3d174f1b,00000000,3d174f1b,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
1,1,0,00000000,00000000,000ee50f,3d174f1c,00000000,3d174f1c,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
2,2,0,00000000,00000000,000ee50f,3d174f1d,00000000,3d174f1d,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
3,3,0,00000000,00000000,000ee50f,3d174f1e,00000000,3d174f1e,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
4,4,0,00000000,00000000,000ee50f,3d174f1f,00000000,3d174f1f,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
5,5,0,00000000,00000000,000ee50f,3d174f20,00000000,3d174f20,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
6,6,0,00000000,00000000,000ee50f,3d174f21,00000000,3d174f21,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
7,7,0,00000000,00000000,000ee50f,3d174f22,00000000,3d174f22,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
8,8,0,00000000,00000000,000ee50f,3d174f23,00000000,3d174f23,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
9,9,0,00000000,00000000,000ee50f,3d174f24,00000000,3d174f24,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
10,10,0,00000000,00000000,000ee50f,3d174f25,00000000,3d174f25,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
11,11,0,00000000,00000000,000ee50f,3d174f26,00000000,3d174f26,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
12,12,0,00000000,00000000,000ee50f,3d174f27,00000000,3d174f27,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
13,13,0,00000000,00000000,000ee50f,3d174f28,00000000,3d174f28,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
14,14,0,00000000,00000000,000ee50f,3d174f29,00000000,3d174f29,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
15,15,0,00000000,00000000,000ee50f,3d174f2a,00000000,3d174f2a,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
16,16,0,00000000,00000000,000ee50f,3d174f2b,00000000,3d174f2b,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
17,17,0,00000000,00000000,000ee50f,3d174f2c,00000000,3d174f2c,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
18,18,0,00000000,00000000,000ee50f,3d174f2d,00000000,3d174f2d,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
19,19,0,00000000,00000000,000ee50f,3d174f2e,00000000,3d174f2e,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
20,20,0,00000000,00000000,000ee50f,3d174f2f,00000000,3d174f2f,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
21,21,0,00000000,00000000,000ee50f,3d174f30,00000000,3d174f30,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
22,22,0,00000000,00000000,000ee50f,3d174f31,00000000,3d174f31,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
23,23,0,00000000,00000000,000ee50f,3d174f32,00000000,3d174f32,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
24,24,0,00000000,00000000,000ee50f,3d174f33,00000000,3d174f33,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
25,25,0,00000000,00000000,000ee50f,3d174f34,00000000,3d174f34,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
26,26,0,00000000,00000000,000ee50f,3d174f35,00000000,3d174f35,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
27,27,0,00000000,00000000,000ee50f,3d174f36,00000000,3d174f36,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
28,28,0,00000000,00000000,000ee50f,3d174f37,00000000,3d174f37,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
29,29,0,00000000,00000000,000ee50f,3d174f38,00000000,3d174f38,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
30,30,0,00000000,00000000,000ee50f,3d174f39,00000000,3d174f39,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
31,31,0,00000000,00000000,000ee50f,3d174f3a,00000000,3d174f3a,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
32,32,0,00000000,00000000,000ee50f,3d174f3b,00000000,3d174f3b,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
33,33,0,00000000,00000000,000ee50f,3d174f3c,00000000,3d174f3c,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
34,34,0,00000000,00000000,000ee50f,3d174f3d,00000000,3d174f3d,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
35,35,0,00000000,00000000,000ee50f,3d174f3e,00000000,3d174f3e,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
36,36,0,00000000,00000000,000ee50f,3d174f3f,00000000,3d174f3f,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
37,37,0,00000000,00000000,000ee50f,3d174f40,00000000,3d174f40,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
38,38,0,00000000,00000000,000ee50f,3d174f41,00000000,3d174f41,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
39,39,0,00000000,00000000,000ee50f,3d174f42,00000000,3d174f42,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
40,40,0,00000000,00000000,000ee50f,3d174f43,00000000,3d174f43,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
41,41,0,00000000,00000000,000ee50f,3d174f44,00000000,3d174f44,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
42,42,0,00000000,00000000,000ee50f,3d174f45,00000000,3d174f45,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
43,43,0,00000000,00000000,000ee50f,3d174f46,00000000,3d174f46,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
44,44,0,00000000,00000000,000ee50f,3d174f47,00000000,3d174f47,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
45,45,0,00000000,00000000,000ee50f,3d174f48,00000000,3d174f48,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
46,46,0,00000000,00000000,000ee50f,3d174f49,00000000,3d174f49,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
47,47,0,00000000,00000000,000ee50f,3d174f4a,00000000,3d174f4a,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
48,48,0,00000000,00000000,000ee50f,3d174f4b,00000000,3d174f4b,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
49,49,0,00000000,00000000,000ee50f,3d174f4c,00000000,3d174f4c,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
50,50,0,00000000,00000000,000ee50f,3d174f4d,00000000,3d174f4d,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
51,51,0,00000000,00000000,000ee50f,3d174f4e,00000000,3d174f4e,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
52,52,0,00000000,00000000,000ee50f,3d174f4f,00000000,3d174f4f,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
53,53,0,00000000,00000000,000ee50f,3d174f50,00000000,3d174f50,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
54,54,0,00000000,00000000,000ee50f,3d174f51,00000000,3d174f51,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
55,55,0,00000000,00000000,000ee50f,3d174f52,00000000,3d174f52,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
56,56,0,00000000,00000000,000ee50f,3d174f53,00000000,3d174f53,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
57,57,0,00000000,00000000,000ee50f,3d174f54,00000000,3d174f54,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
58,58,0,00000000,00000000,000ee50f,3d174f55,00000000,3d174f55,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
59,59,0,00000000,00000000,000ee50f,3d174f56,00000000,3d174f56,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
60,60,0,00000000,00000000,000ee50f,3d174f57,00000000,3d174f57,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
61,61,0,00000000,00000000,000ee50f,3d174f58,00000000,3d174f58,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
62,62,0,00000000,00000000,000ee50f,3d174f59,00000000,3d174f59,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
63,63,0,00000000,00000000,000ee50f,3d174f5a,00000000,3d174f5a,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
64,64,0,00000000,00000000,000ee50f,3d174f5b,00000000,3d174f5b,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
