Sample in Buffer,Sample in Window,TRIGGER,uut_noc_top/mon_active_cnt[31:0],uut_noc_top/mon_rx_stall_cnt[31:0],uut_noc_top/mon_stall_cnt[31:0],uut_noc_top/mon_rx_pkt_cnt[31:0],uut_noc_top/mon_pkt_cnt[31:0],uut_noc_top/mon_flit_cnt[31:0],uut_noc_top/mon_rx_flit_cnt[31:0],uut_noc_top/mon_rx_active_cnt[31:0],u_stress/agent_00/rx_tdest_dbg[3:0],u_stress/agent_00/tx_stall_cnt[31:0],u_stress/agent_00/tx_flit_cnt[31:0],u_stress/agent_00/rx_vc0_cnt[31:0],u_stress/agent_00/state_dbg[1:0],u_stress/agent_00/rx_err_cnt[31:0],u_stress/agent_00/rx_vc1_cnt[31:0],u_stress/agent_00/test_done
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,719994f2,00000000,00000000,000f5c32,00000000,00000000,00f5c326,719994f2,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
1,1,0,719994f3,00000000,00000000,000f5c32,00000000,00000000,00f5c326,719994f3,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
2,2,0,719994f4,00000000,00000000,000f5c32,00000000,00000000,00f5c326,719994f4,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
3,3,0,719994f5,00000000,00000000,000f5c32,00000000,00000000,00f5c326,719994f5,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
4,4,0,719994f6,00000000,00000000,000f5c32,00000000,00000000,00f5c326,719994f6,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
5,5,0,719994f7,00000000,00000000,000f5c32,00000000,00000000,00f5c326,719994f7,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
6,6,0,719994f8,00000000,00000000,000f5c32,00000000,00000000,00f5c326,719994f8,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
7,7,0,719994f9,00000000,00000000,000f5c32,00000000,00000000,00f5c326,719994f9,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
8,8,0,719994fa,00000000,00000000,000f5c32,00000000,00000000,00f5c326,719994fa,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
9,9,0,719994fb,00000000,00000000,000f5c32,00000000,00000000,00f5c326,719994fb,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
10,10,0,719994fc,00000000,00000000,000f5c32,00000000,00000000,00f5c326,719994fc,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
11,11,0,719994fd,00000000,00000000,000f5c32,00000000,00000000,00f5c326,719994fd,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
12,12,0,719994fe,00000000,00000000,000f5c32,00000000,00000000,00f5c326,719994fe,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
13,13,0,719994ff,00000000,00000000,000f5c32,00000000,00000000,00f5c326,719994ff,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
14,14,0,71999500,00000000,00000000,000f5c32,00000000,00000000,00f5c326,71999500,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
15,15,0,71999501,00000000,00000000,000f5c32,00000000,00000000,00f5c326,71999501,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
16,16,0,71999502,00000000,00000000,000f5c32,00000000,00000000,00f5c326,71999502,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
17,17,0,71999503,00000000,00000000,000f5c32,00000000,00000000,00f5c326,71999503,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
18,18,0,71999504,00000000,00000000,000f5c32,00000000,00000000,00f5c326,71999504,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
19,19,0,71999505,00000000,00000000,000f5c32,00000000,00000000,00f5c326,71999505,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
20,20,0,71999506,00000000,00000000,000f5c32,00000000,00000000,00f5c326,71999506,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
21,21,0,71999507,00000000,00000000,000f5c32,00000000,00000000,00f5c326,71999507,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
22,22,0,71999508,00000000,00000000,000f5c32,00000000,00000000,00f5c326,71999508,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
23,23,0,71999509,00000000,00000000,000f5c32,00000000,00000000,00f5c326,71999509,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
24,24,0,7199950a,00000000,00000000,000f5c32,00000000,00000000,00f5c326,7199950a,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
25,25,0,7199950b,00000000,00000000,000f5c32,00000000,00000000,00f5c326,7199950b,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
26,26,0,7199950c,00000000,00000000,000f5c32,00000000,00000000,00f5c326,7199950c,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
27,27,0,7199950d,00000000,00000000,000f5c32,00000000,00000000,00f5c326,7199950d,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
28,28,0,7199950e,00000000,00000000,000f5c32,00000000,00000000,00f5c326,7199950e,0,00000000,00000000,00ccd8eb,3,00000000,00000000,1
