Sample in Buffer,Sample in Window,TRIGGER,u_stress/agent_01/rx_vc0_cnt[31:0],u_stress/agent_01/rx_vc1_cnt[31:0],u_stress/agent_01/state_dbg[1:0],u_stress/agent_01/rx_err_cnt[31:0],u_stress/agent_01/tx_stall_cnt[31:0],u_stress/agent_01/tx_flit_cnt[31:0],u_stress/agent_01/rx_tdest_dbg[3:0],u_stress/agent_01/test_done
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00192386,001923c0,1,00000000,00000000,003246bf,4,0
1,1,0,00192387,001923c0,1,00000000,00000000,003246c0,4,0
2,2,0,00192388,001923c0,1,00000000,00000000,003246c1,4,0
3,3,0,00192389,001923c0,1,00000000,00000000,003246c2,4,0
4,4,0,0019238a,001923c0,1,00000000,00000000,003246c3,4,0
5,5,0,0019238b,001923c0,1,00000000,00000000,003246c4,4,0
6,6,0,0019238c,001923c0,1,00000000,00000000,003246c5,4,0
7,7,0,0019238c,001923c1,1,00000000,00000000,003246c6,4,0
8,8,0,0019238c,001923c2,1,00000000,00000000,003246c7,4,0
9,9,0,0019238c,001923c3,1,00000000,00000000,003246c8,4,0
10,10,0,0019238c,001923c4,1,00000000,00000000,003246c9,4,0
11,11,0,0019238c,001923c5,1,00000000,00000000,003246ca,4,0
12,12,0,0019238c,001923c6,1,00000000,00000000,003246cb,4,0
13,13,0,0019238c,001923c7,1,00000000,00000000,003246cc,4,0
14,14,0,0019238c,001923c8,1,00000000,00000000,003246cd,4,0
15,15,0,0019238c,001923c9,1,00000000,00000000,003246ce,4,0
16,16,0,0019238c,001923ca,1,00000000,00000000,003246cf,4,0
17,17,0,0019238c,001923cb,1,00000000,00000000,003246d0,4,0
18,18,0,0019238c,001923cc,1,00000000,00000000,003246d1,4,0
19,19,0,0019238c,001923cd,1,00000000,00000000,003246d2,4,0
20,20,0,0019238c,001923ce,1,00000000,00000000,003246d3,4,0
21,21,0,0019238c,001923cf,1,00000000,00000000,003246d4,4,0
22,22,0,0019238c,001923d0,1,00000000,00000000,003246d5,4,0
23,23,0,0019238d,001923d0,1,00000000,00000000,003246d6,4,0
24,24,0,0019238e,001923d0,1,00000000,00000000,003246d7,4,0
25,25,0,0019238f,001923d0,1,00000000,00000000,003246d8,4,0
26,26,0,00192390,001923d0,1,00000000,00000000,003246d9,4,0
27,27,0,00192391,001923d0,1,00000000,00000000,003246da,4,0
28,28,0,00192392,001923d0,1,00000000,00000000,003246db,4,0
29,29,0,00192393,001923d0,1,00000000,00000000,003246dc,4,0
30,30,0,00192394,001923d0,1,00000000,00000000,003246dd,4,0
