Sample in Buffer,Sample in Window,TRIGGER,u_stress/agent_00/rx_tdest_dbg[3:0],u_stress/agent_00/rx_vc0_cnt[31:0],u_stress/agent_00/rx_vc1_cnt[31:0],u_stress/agent_00/rx_err_cnt[31:0],u_stress/agent_00/state_dbg[1:0],u_stress/agent_00/tx_flit_cnt[31:0],u_stress/agent_00/tx_stall_cnt[31:0],u_stress/agent_00/test_done
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,0025c0e1,0025c0e0,00000000,1,004b8335,001e341a,0
1,1,0,0,0025c0e1,0025c0e0,00000000,1,004b8336,001e341a,0
2,2,0,0,0025c0e2,0025c0e0,00000000,1,004b8337,001e341a,0
3,3,0,0,0025c0e2,0025c0e0,00000000,1,004b8338,001e341a,0
4,4,0,0,0025c0e3,0025c0e0,00000000,1,004b8339,001e341a,0
5,5,0,0,0025c0e4,0025c0e0,00000000,1,004b833a,001e341a,0
6,6,0,0,0025c0e5,0025c0e0,00000000,1,004b833b,001e341a,0
7,7,0,0,0025c0e6,0025c0e0,00000000,1,004b833c,001e341a,0
8,8,0,0,0025c0e6,0025c0e0,00000000,1,004b833d,001e341a,0
9,9,0,0,0025c0e7,0025c0e0,00000000,1,004b833e,001e341a,0
10,10,0,0,0025c0e8,0025c0e0,00000000,1,004b833f,001e341a,0
11,11,0,0,0025c0e9,0025c0e0,00000000,1,004b8340,001e341a,0
12,12,0,0,0025c0e9,0025c0e0,00000000,1,004b8341,001e341a,0
13,13,0,0,0025c0e9,0025c0e0,00000000,1,004b8342,001e341a,0
14,14,0,0,0025c0ea,0025c0e0,00000000,1,004b8343,001e341a,0
15,15,0,0,0025c0eb,0025c0e0,00000000,1,004b8343,001e341b,0
16,16,0,0,0025c0ec,0025c0e0,00000000,1,004b8343,001e341c,0
17,17,0,0,0025c0ed,0025c0e0,00000000,1,004b8343,001e341d,0
18,18,0,0,0025c0ed,0025c0e0,00000000,1,004b8343,001e341e,0
19,19,0,0,0025c0ee,0025c0e0,00000000,1,004b8343,001e341f,0
20,20,0,0,0025c0ef,0025c0e0,00000000,1,004b8343,001e3420,0
21,21,0,0,0025c0f0,0025c0e0,00000000,1,004b8343,001e3421,0
22,22,0,0,0025c0f0,0025c0e1,00000000,1,004b8343,001e3422,0
23,23,0,0,0025c0f0,0025c0e1,00000000,1,004b8343,001e3423,0
24,24,0,0,0025c0f0,0025c0e2,00000000,1,004b8344,001e3423,0
25,25,0,0,0025c0f0,0025c0e2,00000000,1,004b8345,001e3423,0
26,26,0,0,0025c0f0,0025c0e3,00000000,1,004b8345,001e3424,0
27,27,0,0,0025c0f0,0025c0e4,00000000,1,004b8346,001e3424,0
28,28,0,0,0025c0f0,0025c0e4,00000000,1,004b8346,001e3425,0
29,29,0,0,0025c0f0,0025c0e5,00000000,1,004b8347,001e3425,0
30,30,0,0,0025c0f0,0025c0e6,00000000,1,004b8348,001e3425,0
31,31,0,0,0025c0f0,0025c0e7,00000000,1,004b8348,001e3426,0
32,32,0,0,0025c0f0,0025c0e8,00000000,1,004b8349,001e3426,0
33,33,0,0,0025c0f0,0025c0e8,00000000,1,004b834a,001e3426,0
34,34,0,0,0025c0f0,0025c0e9,00000000,1,004b834b,001e3426,0
35,35,0,0,0025c0f0,0025c0ea,00000000,1,004b834c,001e3426,0
36,36,0,0,0025c0f0,0025c0ea,00000000,1,004b834c,001e3427,0
37,37,0,0,0025c0f0,0025c0eb,00000000,1,004b834d,001e3427,0
38,38,0,0,0025c0f0,0025c0eb,00000000,1,004b834e,001e3427,0
