Sample in Buffer,Sample in Window,TRIGGER,u_stress/agent_11/state_dbg[1:0],u_stress/agent_11/tx_flit_cnt[31:0],u_stress/agent_11/tx_stall_cnt[31:0],u_stress/agent_11/rx_vc1_cnt[31:0],u_stress/agent_11/rx_err_cnt[31:0],u_stress/agent_11/rx_tdest_dbg[3:0],u_stress/agent_11/rx_vc0_cnt[31:0],u_stress/agent_11/test_done
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,1,00b61bcd,00000000,005b0e90,00000000,5,005b0e57,0
1,1,0,1,00b61bce,00000000,005b0e90,00000000,5,005b0e58,0
2,2,0,1,00b61bcf,00000000,005b0e90,00000000,5,005b0e59,0
3,3,0,1,00b61bd0,00000000,005b0e90,00000000,5,005b0e5a,0
4,4,0,1,00b61bd1,00000000,005b0e90,00000000,5,005b0e5b,0
5,5,0,1,00b61bd2,00000000,005b0e90,00000000,5,005b0e5c,0
6,6,0,1,00b61bd3,00000000,005b0e91,00000000,5,005b0e5c,0
7,7,0,1,00b61bd4,00000000,005b0e92,00000000,5,005b0e5c,0
8,8,0,1,00b61bd5,00000000,005b0e93,00000000,5,005b0e5c,0
9,9,0,1,00b61bd6,00000000,005b0e94,00000000,5,005b0e5c,0
10,10,0,1,00b61bd7,00000000,005b0e95,00000000,5,005b0e5c,0
11,11,0,1,00b61bd8,00000000,005b0e96,00000000,5,005b0e5c,0
12,12,0,1,00b61bd9,00000000,005b0e97,00000000,5,005b0e5c,0
13,13,0,1,00b61bda,00000000,005b0e98,00000000,5,005b0e5c,0
14,14,0,1,00b61bdb,00000000,005b0e99,00000000,5,005b0e5c,0
15,15,0,1,00b61bdc,00000000,005b0e9a,00000000,5,005b0e5c,0
16,16,0,1,00b61bdd,00000000,005b0e9b,00000000,5,005b0e5c,0
17,17,0,1,00b61bde,00000000,005b0e9c,00000000,5,005b0e5c,0
18,18,0,1,00b61bdf,00000000,005b0e9d,00000000,5,005b0e5c,0
19,19,0,1,00b61be0,00000000,005b0e9e,00000000,5,005b0e5c,0
20,20,0,1,00b61be1,00000000,005b0e9f,00000000,5,005b0e5c,0
21,21,0,1,00b61be2,00000000,005b0ea0,00000000,5,005b0e5c,0
22,22,0,1,00b61be3,00000000,005b0ea0,00000000,5,005b0e5d,0
23,23,0,1,00b61be4,00000000,005b0ea0,00000000,5,005b0e5e,0
24,24,0,1,00b61be5,00000000,005b0ea0,00000000,5,005b0e5f,0
25,25,0,1,00b61be6,00000000,005b0ea0,00000000,5,005b0e60,0
26,26,0,1,00b61be7,00000000,005b0ea0,00000000,5,005b0e61,0
27,27,0,1,00b61be8,00000000,005b0ea0,00000000,5,005b0e62,0
28,28,0,1,00b61be9,00000000,005b0ea0,00000000,5,005b0e63,0
29,29,0,1,00b61bea,00000000,005b0ea0,00000000,5,005b0e64,0
30,30,0,1,00b61beb,00000000,005b0ea0,00000000,5,005b0e65,0
31,31,0,1,00b61bec,00000000,005b0ea0,00000000,5,005b0e66,0
32,32,0,1,00b61bed,00000000,005b0ea0,00000000,5,005b0e67,0
33,33,0,1,00b61bee,00000000,005b0ea0,00000000,5,005b0e68,0
34,34,0,1,00b61bef,00000000,005b0ea0,00000000,5,005b0e69,0
35,35,0,1,00b61bf0,00000000,005b0ea0,00000000,5,005b0e6a,0
36,36,0,1,00b61bf1,00000000,005b0ea0,00000000,5,005b0e6b,0
37,37,0,1,00b61bf2,00000000,005b0ea0,00000000,5,005b0e6c,0
38,38,0,1,00b61bf3,00000000,005b0ea1,00000000,5,005b0e6c,0
39,39,0,1,00b61bf4,00000000,005b0ea2,00000000,5,005b0e6c,0
40,40,0,1,00b61bf5,00000000,005b0ea3,00000000,5,005b0e6c,0
41,41,0,1,00b61bf6,00000000,005b0ea4,00000000,5,005b0e6c,0
42,42,0,1,00b61bf7,00000000,005b0ea5,00000000,5,005b0e6c,0
43,43,0,1,00b61bf8,00000000,005b0ea6,00000000,5,005b0e6c,0
44,44,0,1,00b61bf9,00000000,005b0ea7,00000000,5,005b0e6c,0
45,45,0,1,00b61bfa,00000000,005b0ea8,00000000,5,005b0e6c,0
46,46,0,1,00b61bfb,00000000,005b0ea9,00000000,5,005b0e6c,0
47,47,0,1,00b61bfc,00000000,005b0eaa,00000000,5,005b0e6c,0
48,48,0,1,00b61bfd,00000000,005b0eab,00000000,5,005b0e6c,0
49,49,0,1,00b61bfe,00000000,005b0eac,00000000,5,005b0e6c,0
50,50,0,1,00b61bff,00000000,005b0ead,00000000,5,005b0e6c,0
51,51,0,1,00b61c00,00000000,005b0eae,00000000,5,005b0e6c,0
52,52,0,1,00b61c01,00000000,005b0eaf,00000000,5,005b0e6c,0
53,53,0,1,00b61c02,00000000,005b0eb0,00000000,5,005b0e6c,0
54,54,0,1,00b61c03,00000000,005b0eb0,00000000,5,005b0e6d,0
55,55,0,1,00b61c04,00000000,005b0eb0,00000000,5,005b0e6e,0
56,56,0,1,00b61c05,00000000,005b0eb0,00000000,5,005b0e6f,0
57,57,0,1,00b61c06,00000000,005b0eb0,00000000,5,005b0e70,0
58,58,0,1,00b61c07,00000000,005b0eb0,00000000,5,005b0e71,0
59,59,0,1,00b61c08,00000000,005b0eb0,00000000,5,005b0e72,0
60,60,0,1,00b61c09,00000000,005b0eb0,00000000,5,005b0e73,0
61,61,0,1,00b61c0a,00000000,005b0eb0,00000000,5,005b0e74,0
62,62,0,1,00b61c0b,00000000,005b0eb0,00000000,5,005b0e75,0
63,63,0,1,00b61c0c,00000000,005b0eb0,00000000,5,005b0e76,0
64,64,0,1,00b61c0d,00000000,005b0eb0,00000000,5,005b0e77,0
65,65,0,1,00b61c0e,00000000,005b0eb0,00000000,5,005b0e78,0
66,66,0,1,00b61c0f,00000000,005b0eb0,00000000,5,005b0e79,0
67,67,0,1,00b61c10,00000000,005b0eb0,00000000,5,005b0e7a,0
68,68,0,1,00b61c11,00000000,005b0eb0,00000000,5,005b0e7b,0
69,69,0,1,00b61c12,00000000,005b0eb0,00000000,5,005b0e7c,0
70,70,0,1,00b61c13,00000000,005b0eb1,00000000,5,005b0e7c,0
71,71,0,1,00b61c14,00000000,005b0eb2,00000000,5,005b0e7c,0
72,72,0,1,00b61c15,00000000,005b0eb3,00000000,5,005b0e7c,0
73,73,0,1,00b61c16,00000000,005b0eb4,00000000,5,005b0e7c,0
74,74,0,1,00b61c17,00000000,005b0eb5,00000000,5,005b0e7c,0
75,75,0,1,00b61c18,00000000,005b0eb6,00000000,5,005b0e7c,0
76,76,0,1,00b61c19,00000000,005b0eb7,00000000,5,005b0e7c,0
77,77,0,1,00b61c1a,00000000,005b0eb8,00000000,5,005b0e7c,0
78,78,0,1,00b61c1b,00000000,005b0eb9,00000000,5,005b0e7c,0
79,79,0,1,00b61c1c,00000000,005b0eba,00000000,5,005b0e7c,0
80,80,0,1,00b61c1d,00000000,005b0ebb,00000000,5,005b0e7c,0
81,81,0,1,00b61c1e,00000000,005b0ebc,00000000,5,005b0e7c,0
82,82,0,1,00b61c1f,00000000,005b0ebd,00000000,5,005b0e7c,0
83,83,0,1,00b61c20,00000000,005b0ebe,00000000,5,005b0e7c,0
84,84,0,1,00b61c21,00000000,005b0ebf,00000000,5,005b0e7c,0
85,85,0,1,00b61c22,00000000,005b0ec0,00000000,5,005b0e7c,0
86,86,0,1,00b61c23,00000000,005b0ec0,00000000,5,005b0e7d,0
87,87,0,1,00b61c24,00000000,005b0ec0,00000000,5,005b0e7e,0
88,88,0,1,00b61c25,00000000,005b0ec0,00000000,5,005b0e7f,0
89,89,0,1,00b61c26,00000000,005b0ec0,00000000,5,005b0e80,0
